OrderColecta,NSiembra,Origen,Raza,Estado,Num_Colecta,Nombre_comun,Raza_Primaria,Raza_Secundaria,A̱o._de_colecta,Localidad,Municipio,Estado.1,Longitud,Latitud,Altitud,Ruizetal2008_grupo,Sanchezetal_grupo,Categ.Altitud,Rbiogeo,DivFloristic,PeralesBiog
2,52,Ig-2010-238,Nal-tel de Altura,Oaxaca,OAX-400,Criollo,Nal-tel de Altura,NA,1970,Finca Carlota,San Bartolome Ayautla,Oaxaca,-96.73333333,18.01666667,1250,3A_muycalido990-1360mm,Dentados tropicales,mid,Golfo de Mexico,Valle de Tehuacan,Complejo de
2,47,Ig-2010-294,Jala,Nayarit,2003-2,Criollo,Jala,NA,2003,Jomulco,Jala,Nayarit,-104.4286944,21.10166667,1153,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Costa del Pacifico,Serranias Meridionales,Sierras del
1,80,2009-39,Comiteco,Chiapas,39,Napalu amarillo,Comiteco,NA,2009,Ejido Suchiapa,Suchiapa,Chiapas,-93.09966667,16.62313889,455,1C_templado>1000mm,Maduración tardía,low,Costa del Pacifico,Costa Pacifica,Chiapas
1,65,2009-39,Elotes Cónicos,Tlaxcala,39,Azul Criollo,Elotes Cónicos,NA,2008,Francisco Javier Mina,Trinidad Sánchez Santos,Tlaxcala,-97.92472222,19.19055556,2640,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,94,2009-60,Pepitilla,Estado de M̩xico,2009-060,Menudito,Pepitilla,NA,2009,San Pedro Temeyac,Temascaltepec,Estado de M̩xico,-100.1686111,19.0525,1830,2C_semicalido740-855mm,Dentados tropicales,mid,Eje Volcanico,Depresion del Balsas,Cordillera
2,36,Ig-2010-103,Dulce,Chihuahua,CHIH-235,Dulce,Dulce,NA,1969,Moris,Moris,Chihuahua,-108.5333333,28.13333333,950,2B_semicalido450-620mm,Cónico,low,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,26,Ig-2010-245,Coscomatepec,Veracruz,VER-54A,,Coscomatepec,NA,1948,EL PALMAR,TEZONAPA,Veracruz,-96.78333333,18.5,201,,Maduración tardía,low,Golfo de Mexico,Serranias Meridionales,Complejo de
1,105,2009-09,Mushito,B.C.S.,2009-09,Maíz Morado,Mushito,NA,2009,Muleg̩,Muleg̩,B.C.S.,-111.9864167,26.89047222,5,1C_templado>1000mm,Cónico,low,Baja California,Baja California,BC y Noroes
1,30,2009-236,Ancho,Estado de M̩xico,2009-236,Ancho,Ancho,NA,2009,San Andr̩s Tlalamac,Atlautla,Estado de M̩xico,-98.80944444,18.96805556,2073,4_Jala,Ocho Hileras,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,16,2007-054,Elotero de Sinaloa,Sinaloa,SIN-2007-054,Negro,Elotero de Sinaloa,NA,2007,Agua Zarca,El Rosario,Sinaloa,-105.5463889,22.88972222,220,,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,42,Celaya-2009-9,Elotes Occidentales,Guanajuato,2009-REPO-009,Maíz Criollo,Elotes Occidentales,NA,2009,Palmillas de San Juan,Comonfort,Guanajuato,-100.8147222,20.78444444,1854,2C_semicalido740-855mm y 1B_templado>650mm,Ocho Hileras,mid,Eje Volcanico,Altiplanicie,Mesa del No
1,4,2008-26,Chapalote,Sonora,SON2007-065,Reventador,Chapalote,NA,2008,Huásabas,Huásabas,Sonora,-109.2996667,29.90441667,537,2A_semicalido500-870mm y 1B_templado>650mm,Chapalote,low,Sonorense,Planicie Costera del Noroeste,Sierras del
1,31,2009-41,Cacahuacintle,Estado de M̩xico,2009-041,Cacahuacintle,Cacahuacintle,NA,2009,San Pedro Tlaltizapán,Santiago Tianguistenco,Estado de M̩xico,-99.50888889,19.19638889,2585,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,17,Chis-2009-80,Tepecintle,Chiapas,Chis-2009-80 Repetido,,Tepecintle,NA,2009,Vicente Guerrero,Salto de Agua,Chiapas,-92.08888889,17.32222222,120,3A_muycalido990-1360mm,Dentados tropicales,low,Golfo de Mexico,Costa del Golfo de Mexico,Chiapas
2,46,Ig-2010-201,Jala,Nayarit,NAY-129,Criollo,Jala,NA,1951,Jala,Jala,Nayarit,-104.4405556,21.1,1060,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Costa del Pacifico,Serranias Meridionales,Sierras del
2,5,Pue-2009-718,Arrocillo,Puebla,717,Maíz blanco,Arrocillo,NA,2010,Eloxotitlán,Zacatlán,Puebla,-97.98080556,19.93408333,2159,1C_templado>1000mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,32,2009-49,Cacahuacintle,Estado de M̩xico,2009-049,Cacahuacintle,Cacahuacintle,NA,2009,Calimaya,Calimaya,Estado de M̩xico,-99.61805556,19.1675,2700,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,19,Ig-2010-168,Complejo Serrano de Jalisco,Jalisco,JAL-825,MAIZ ROJO,Complejo Serrano de Jalisco,NA,9999,LLANO OJO ZARCO,TAPALPA,Jalisco,-103.6666667,19.93333333,2160,,Sierra de Chihuahua,high,Eje Volcanico,Serranias Meridionales,Cordillera
2,50,Celaya-2009-62,Mushito,Guanajuato,2009-JAAG-062,Maíz Criollo blanco,Mushito,NA,2009,Derramaderos,Victoria,Guanajuato,-100.13722,21.3575,2500,1C_templado>1000mm,Cónico,high,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Mesa del No
2,8,INIFAP-2009-416,Azul,Chihuahua,416,Azul y blanco,Azul,NA,2009,Las Varas,Temosachic,Chihuahua,-108.0157778,28.45730556,2220,1A_templado540-640mm,Sierra de Chihuahua,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,34,INIFAP-2009-17,Cristalino de Chihuahua,Chihuahua,17,Ocho carreras y temporalero,Cristalino de Chihuahua,NA,2009,Guadalupe,Guerrero,Chihuahua,-107.4748056,28.50283333,2034,1A_templado540-640mm,Sierra de Chihuahua,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,23,Guerrero-2008-25,Conejo,Guerrero,25,Amarillo,Conejo,NA,2008,San Gabriel,Olinalá,Guerrero,-98.74188889,17.77797222,1685,,Tropicales precoces,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
2,54,INIFAP-2009-220,Palomero de Chihuahua,Chihuahua,220,Maiz amarillo,Palomero de Chihuahua,NA,2009,Puerto Los Chiles,Balleza,Chihuahua,-106.4436667,26.35983333,2769,,Cónico,NA,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
2,14,Celaya-2009-118,Celaya,Guanajuato,2009-REPO-118,Maíz Criollo,Celaya,NA,2009,EjidoTuna Mansa,Silao,Guanajuato,-101.4052778,21.00861111,1823,2A_semicalido500-870mm y 1B_templado>650mm,Dentados tropicales,mid,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Bajío
1,37,2009-150,Chalque̱o,Estado de M̩xico,2009-150,Criollo Blanco,Chalque̱o,NA,2009,San Lorenzo Oyamel,Temoaya,Estado de M̩xico,-99.59527778,19.41808889,2595,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,25,INIFAP-2009-4,Cónico Norte̱o,Chihuahua,4,Tulancingo blanco,Cónico Norte̱o,NA,2009,Bustillos,Cuauhtemoc,Chihuahua,-106.6291111,28.49488889,2010,1B_templado>650mm,Cónico,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,55,2009-81,Elotes Cónicos,Estado de M̩xico,2009-081,Negro,Elotes Cónicos,NA,2009,San Diego Suchitepec,Villa  Victoria,Estado de M̩xico,-100.0255556,19.49083333,2576,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,40,Chis-2009-31,Dzit-Bacal,Chiapas,Repetida 31,Maíz olotillo,Dzit-Bacal,NA,2009,Ejido El Parral,Villacorzo,Chiapas,-93.00194444,16.36402778,654,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Costa Pacifica,Chiapas
1,29,2009-235,Ancho,Estado de M̩xico,2009-235,Ancho Amarillo,Ancho,NA,2009,Carretera San Juan Tepeoculco,Atlautla,Estado de M̩xico,-98.77861111,18.9975,2226,4_Jala,Ocho Hileras,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,60,2009-6,Cónico,Tlaxcala,6,Amarillo Criollo,Cónico,NA,2008,El  Carmen Tequexquitla,El  Carmen Tequexquitla,Tlaxcala,-97.65222222,19.31916667,2358,1B_templado>650mm,Cónico,high,Eje Volcanico,Altiplanicie,Mesa Centra
1,44,2009-78,Cónico,Estado de M̩xico,2009-078,Amarillo,Cónico,NA,2009,El Espinal,Villa  Victoria,Estado de M̩xico,-100.0627778,19.46055556,2605,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,74,2009-81,Elotes Cónicos,Hidalgo,81,Maíz negro,Elotes Cónicos,NA,2009,Ranchería Chichicaxtle,Agua Blanca,Hidalgo,-98.37388889,20.35888889,2104,,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,89,2007-31,Elotero de Sinaloa,Sinaloa,SIN-2007-031,Negro  ,Elotero de Sinaloa,NA,2007,La Guayanera,Concordia,Sinaloa,-105.8916667,23.40611111,929,,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,64,2009-159,Cacahuacintle,Tlaxcala,159,Azul,Cacahuacintle,NA,2009,"Atotonilco, a 5 km hacia el este",Tlaxco,Tlaxcala,-98.05666667,19.59972222,2745,1B_templado>650mm,Cónico,high,Eje Volcanico,Altiplanicie,Mesa Centra
1,83,2009-135,Nal-tel de Altura,Chiapas,135,Morado,Nal-tel de Altura,NA,2009,Guayamuses,Independencia,Chiapas,-91.97688889,16.23319444,1551,3A_muycalido990-1360mm,Dentados tropicales,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,75,2009-87,Elotes Cónicos,Hidalgo,87,Negro,Elotes Cónicos,NA,2009,"Calabazas, Prinera Sección",Agua Blanca,Hidalgo,-98.37555556,20.35472222,2081,,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,92,2008-45,Gordo,Sonora,SON2007-084,Maíz Blando,Gordo,NA,2008,Mesa de Tres Ríos,Nácori Chico,Sonora,-108.7097222,29.84027778,1880,1A_templado540-640mm,Sierra de Chihuahua,mid,Sierra Madre Occidental,Sierra Madre Occidental,BC y Noroes
1,69,2009-85,Cacahuacintle,Hidalgo,85,Cachuacintle,Cacahuacintle,NA,2009,Loma Ancha,Agua Blanca,Hidalgo,-98.43111111,20.33916667,2133,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,84,2009-136,Nal-tel de Altura,Chiapas,136,Pinto,Nal-tel de Altura,NA,2009,Campamento,Independencia,Chiapas,-91.91638944,16.21563917,1552,3A_muycalido990-1360mm,Dentados tropicales,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,76,2009-136,Olotillo,Hidalgo,136,Criollo blanco o pilchipahuak,Olotillo,NA,2009,Ixtlahuatempa,Huejutla,Hidalgo,-98.43611111,21.13333333,225,3A_muycalido990-1360mm,Maduración tardía,low,Golfo de Mexico,Costa del Golfo de Mexico,Planicies d
2,97,Pue-2009-731,Arrocillo,Puebla,731,Maíz negro,Arrocillo,NA,2010,Foxcoatzingo,Zacatlán,Puebla,-97.97941667,19.95577778,2104,1C_templado>1000mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,70,2009-111,Chalque̱o,Hidalgo,111,Criollo mejorado,Chalque̱o,NA,2009,Rancho San Antonio Texas,Metepec,Hidalgo,-98.33722222,20.22138889,2068,,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,85,2009-192,Olotón,Chiapas,192,Criollo amarillo,Olotón,NA,2009,Ejido Benito Juárez,Motozintla,Chiapas,-92.3145,15.36608333,2057,1C_templado>1000mm,Maduración tardía,high,Soconusco,Serranias Transismicas,Chiapas
1,77,2009-152,Olotillo,Hidalgo,152,Maíz blanco hueyi chipahuak,Olotillo,NA,2006,Tenexco I,Atlapexco,Hidalgo,-98.34638889,21.06388889,194,3A_muycalido990-1360mm,Maduración tardía,low,Golfo de Mexico,Costa del Golfo de Mexico,Planicies d
1,71,2009-112,Chalque̱o,Hidalgo,112,Criollo blanco,Chalque̱o,NA,2009,San Juan Hueyapan,Cuautepec de Hinojosa,Hidalgo,-98.28055556,20.02972222,2136,,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,86,2009-197,Olotón,Chiapas,197,Maíz amarillo,Olotón,NA,2009,Barrio Tenan,Motozintla,Chiapas,-92.29358333,15.36011111,1828,1C_templado>1000mm,Maduración tardía,mid,Soconusco,Serranias Transismicas,Chiapas
1,78,2009-18,Olotillo,Chiapas,18,Olotillo crema,Olotillo,NA,2009,Nuevo Vicente Guerrero,Villacorzo,Chiapas,-92.97972222,16.03225,618,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,102,2009-73,Elotes Cónicos,Hidalgo,73,Xocoyul,Elotes Cónicos,NA,2009,Ranchería Potrero de Monroy,Agua Blanca,Hidalgo,-98.38333333,20.3975,1698,,Cónico,mid,Sierra Madre Oriental,Sierra Madre Oriental,Planicies d
1,73,2009-105,Cónico,Hidalgo,105,Blanco,Cónico,NA,2009,Nopalillo,Metepec,Hidalgo,-98.29111111,20.24333333,2144,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,88,2007-26,Elotero de Sinaloa,Sinaloa,SIN-2007-026,Maíz negro,Elotero de Sinaloa,NA,2007,Santa Catarina,Concordia,Sinaloa,-106.0816667,23.43083333,209,,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,79,2009-31,Olotillo,Chiapas,31,Maíz olotillo,Olotillo,NA,2009,Ejido El Parral,Villacorzo,Chiapas,-93.00194444,16.36402778,654,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Costa Pacifica,Chiapas
1,106,2009-61,Pepitilla,Estado de M̩xico,2009-061,Ancho Amarillo,Pepitilla,NA,2009,El Pe̱ón,Temascaltepec,Estado de M̩xico,-100.1083333,19.04388889,1779,2C_semicalido740-855mm,Dentados tropicales,mid,Eje Volcanico,Depresion del Balsas,Cordillera
1,119,2006-20,Tabloncillo,Sinaloa,SIN-2006-020,Platane̱o,Tabloncillo,NA,2006,Maloya,El Rosario,Sinaloa,-105.6068056,22.94927778,113,2C_semicalido740-855mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,148,Celaya-2009-101,Celaya,Guanajuato,2009-REPO-101,Maíz Criollo,Celaya,NA,2009,San Jos̩ de Araceo,Valle de Santiago,Guanajuato,-101.1611111,20.37416667,1750,2A_semicalido500-870mm y 1B_templado>650mm,Dentados tropicales,mid,Eje Volcanico,Altiplanicie,Bajío
1,108,2008-10,Dulcillo del Noroeste,Sonora,SON2007-049,Maíz Dulce,Dulcillo del Noroeste,NA,2008,Huisamopa,Sahuaripa,Sonora,-109.106,28.613,708,2A_semicalido500-870mm,Chapalote,low,Sierra Madre Occidental,Costa Pacifica,Sierras del
1,120,2007-20,Tabloncillo,Sonora,SON2007-020,Pinto Amarillo,Tabloncillo,NA,2007,La Estrella,Rosario,Sonora,-109.2448056,27.82702778,503,2C_semicalido740-855mm,Ocho Hileras,low,Sonorense,Costa Pacifica,Sierras del
2,151,Ig-2010-234,Complejo Serrano de Jalisco,Jalisco,JAL-829,CRISTALINO AMARILLO,Complejo Serrano de Jalisco,NA,NA,RANCHO EL TEPOPOTE,ATOYAC,Jalisco,-103.43833,19.92833,1920,,Sierra de Chihuahua,mid,Eje Volcanico,Serranias Meridionales,Cordillera
1,134,NL-2,Tuxpe̱o Norte̱o,Nuevo León,NL-2008-002,Blanco Alemán,Tuxpe̱o Norte̱o,NA,2008,Ejido La Petaca,Linares,Nuevo León,-99.53447222,24.85894444,334,2B_semicalido450-620mm,Dentados tropicales,low,Tamaulipeca,Planicie Costera del Noreste,Mesa del No
2,123,Nay-2010-85,Tabloncillo Perla,Nayarit,85,Tabloncillo cristalino,Tabloncillo Perla,NA,2010,"Palma Grande, Nayarit",Tuxpan,Nayarit,-105.39025,21.99097222,24,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,153,2009-99,Cónico,Hidalgo,99,Criollo amarillo,Cónico,NA,2009,Ca̱ada de Flores,Metepec,Hidalgo,-98.405,20.28666667,2143,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,135,2008-31,Vande̱o,Sonora,SON2007-070,Maíz Blanco,Vande̱o,NA,2008,La Estancia,Aconchi,Sonora,-110.2121667,29.79602778,610,3A_muycalido990-1360mm,Dentados tropicales,low,Sonorense,Altiplanicie,BC y Noroes
2,124,Chis-2009-175,Tehua,Chiapas,175,Quechulteco,Tehua,NA,2009,San Pablo Huacana,Ocotepec,Chiapas,-93.206,17.19680556,1545,3A_muycalido990-1360mm,Maduración tardía,mid,Los Altos de Chiapas,Costa del Golfo de Mexico,Chiapas
1,184,2009-263,Chalque̱o,Estado de M̩xico,2009-263,Criollo Grande,Chalque̱o,NA,2009,Pahuacán,Ayapango,Estado de M̩xico,-98.80388889,19.10361111,2536,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,140,Ig-2010-225,Zamorano Amarillo,Jalisco,Jal-377,Criollo,Zamorano Amarillo,NA,1974,Zapotillo,Casimiro Castillo,Jalisco,-104.45,19.6,300,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,low,Costa del Pacifico,Serranias Meridionales,Sierras del
2,125,Chis-2009-177,Tehua,Chiapas,177,Bacalito,Tehua,NA,2009,San Pablo Huacana,Ocotepec,Chiapas,-93.17527778,17.21630556,1525,3A_muycalido990-1360mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
2,141,Ig-2010-237,Zamorano Amarillo,Michoacan,Mich-18,Criollo,Zamorano Amarillo,NA,1944,Jiquilpan,Jiquilpan,Michoacan,-102.7166667,19.96666667,1550,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Eje Volcanico,Altiplanicie,Cordillera
1,131,2009-1,Tuxpe̱o,Chiapas,1,Criollo Maíz morado,Tuxpe̱o,NA,2009,Benito Juárez,La Concordia,Chiapas,-92.81925,16.04422222,575,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,189,2009-82,Cónico,Hidalgo,82,Maíz amarillo,Cónico,NA,2009,Ranchería Chichicaxtle,Agua Blanca,Hidalgo,-98.37388889,20.35888889,2104,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,57,2009-285,Elotes Cónicos,Distrito Federal,2009-13,Rojo,Elotes Cónicos,NA,2009,San Pedro Atocpan,Milpa Alta,Distrito Federal,-99.05027778,19.19166667,2530,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,126,2009-195,Tepecintle,Chiapas,195,Criollo penul (negro),Tepecintle,NA,2009,Ejido Benito Juárez,Motozintla,Chiapas,-92.31925,15.36652778,2050,3A_muycalido990-1360mm,Dentados tropicales,high,Soconusco,Serranias Transismicas,Chiapas
1,113,NL-54,Ratón,Nuevo León,NL-2008-054,Amarillo Trem̩s,Ratón,NA,2008,Rinconada Nuevo León,Villa de García,Nuevo León,-100.7042778,25.68125,1001,2A_semicalido500-870mm,Tropicales precoces,mid,Altiplano Norte (Chihuahuense),Altiplanicie,Mesa del No
1,138,2009-14,Vande̱o,Chiapas,14,Macho (Tuxpe̱o intermedio),Vande̱o,NA,2009,Nuevo Vicente Guerrero,Villacorzo,Chiapas,-92.97783333,16.04222222,612,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,63,2009-41,Cacahuacintle,Tlaxcala,41,Cacahuazintle,Cacahuacintle,NA,2008,San Pablo Zitlaltepec,Trinidad Sánchez Santos,Tlaxcala,-97.90083333,19.22194444,2554,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,127,2007-3,Tuxpe̱o,Sinaloa,SIN-2007-003,Maíz Rojo,Tuxpe̱o,NA,2007,Malpica,Concordia,Sinaloa,-106.1319444,23.25388889,86,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Planicie Costera del Noroeste,Sierras del
1,114,2007-09,Reventador,Sonora,SON2007-009,Reventador,Reventador,NA,2007,La Isleta,́lamos,Sonora,-108.9119444,26.84361111,204,2A_semicalido500-870mm,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,139,Ig-2010-178,Zamorano Amarillo,Jalisco,Jal-445,Criollo,Zamorano Amarillo,NA,NA,Villa Purificación,Purificación,Jalisco,-104.6333333,19.71666667,450,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,99,Ig-2010-240,Nal-tel de Altura,Veracruz,VER-115,Azul,Nal-tel de Altura,NA,1952,Ixtaczoquitlan,Ixtaczoquitlan,Veracruz,-97.06666667,18.85,920,3A_muycalido990-1360mm,Dentados tropicales,low,Oaxaca,Valle de Tehuacan,Complejo de
