OrderColecta,NSiembra,Origen,Raza,Estado,Num_Colecta,Nombre_comun,Raza_Primaria,Raza_Secundaria,A̱o._de_colecta,Localidad,Municipio,Estado.1,Longitud,Latitud,Altitud,Ruizetal2008_grupo,Sanchezetal_grupo,Categ.Altitud,Rbiogeo,DivFloristic,PeralesBiog
1,166,2009-228,Olotón,Chiapas,228,Criollo amarillo,Olotón,NA,2009,Mitziton,San Cristóbal de las Casas,Chiapas,-92.54222222,16.63975,2299,1C_templado>1000mm,Maduración tardía,high,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,160,2009-240,Elotes Cónicos,Estado de M̩xico,2009-240,Negro Bola,Elotes Cónicos,NA,2009,San Juan Tehuixtitlán,Atlautla,Estado de M̩xico,-98.77233333,19.05555556,2600,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,173,2007-083,Elotero de Sinaloa,Sinaloa,SIN-2007-083,Negro,Elotero de Sinaloa,NA,2007,La Labor,San Ignacio,Sinaloa,-106.4261111,23.84611111,258,,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,152,Guerrero-2008-30,Conejo,Guerrero,30,Blanco,Conejo,NA,2008,Tamalakatzingo,Olinalá,Guerrero,-98.68102778,17.88563889,1493,,Tropicales precoces,mid,Sierra Madre del Sur,Depresion del Balsas,Cordillera
1,167,2009-269,Olotón,Chiapas,269,Maiz de a̱o (trapichio),Olotón,NA,2009,Puente Maravillas,Motozintla,Chiapas,-92.18767778,15.29614444,1220,1C_templado>1000mm,Maduración tardía,mid,Soconusco,Serranias Transismicas,NA
1,161,2009-128,Elotes Cónicos,Tlaxcala,128,Xocoyule,Elotes Cónicos,NA,2009,Quinta Sección San Jos̩ Teacalco,San Jos̩ Teacalco,Tlaxcala,-98.04722222,19.33861111,2620,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,174,2007-38,Elotero de Sinaloa,Sinaloa,SIN-2007-038,Maíz Negro ,Elotero de Sinaloa,NA,2007,Potrerillo,Concordia,Sinaloa,-105.8308333,23.4575,1526,,Chapalote,mid,Costa del Pacifico,Costa Pacifica,Sierras del
1,154,2009-244,Cónico,Estado de M̩xico,2009-244,Azul,Cónico,NA,2009,San Antonio Soyatzingo,Amecameca,Estado de M̩xico,-98.78166667,19.09055556,2400,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,169,Ig-2010-328,Jala,Nayarit,2004-17,Criollo,Jala,NA,2004,Jomulco,Jala,Nayarit,-104.4399794,21.07805,1057,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Costa del Pacifico,Serranias Meridionales,Sierras del
2,162,Celaya-2009-15,Elotes Occidentales,Guanajuato,2009-REPO-015,Maíz Criollo,Elotes Occidentales,NA,2009,Miraflores,Comonfort,Guanajuato,-100.9355556,20.78722222,2071,2C_semicalido740-855mm y 1B_templado>650mm,Ocho Hileras,high,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Mesa del No
1,176,2009-66,Pepitilla,Estado de M̩xico,2009-066,Ancho Blanco-Rojo,Pepitilla,NA,2009,El Pe̱ón,Temascaltepec,Estado de M̩xico,-100.1083333,19.04388889,1779,2C_semicalido740-855mm,Dentados tropicales,mid,Eje Volcanico,Depresion del Balsas,Cordillera
2,156,INIFAP-2009-5,Cónico Norte̱o,Chihuahua,5,Blanco mezclado,Cónico Norte̱o,NA,2009,Zamaloapan,Cuauhtemoc,Chihuahua,-106.6555,28.51872222,2019,1B_templado>650mm,Cónico,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,170,2009-98,Elotes Cónicos,Estado de M̩xico,2009-098,Rosado,Elotes Cónicos,NA,2009,San Juan Jalpa,San Felipe del Progreso,Estado de M̩xico,-99.92944444,19.70611111,2535,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,163,2008-46,Gordo,Sonora,SON2007-085,Maíz Blando,Gordo,NA,2008,Mesa de Tres Ríos,Nácori Chico,Sonora,-108.7097222,29.84027778,1880,1A_templado540-640mm,Sierra de Chihuahua,mid,Sierra Madre Occidental,Sierra Madre Occidental,BC y Noroes
1,177,2009-266,Tepecintle,Chiapas,266,Criollo amarillo,Tepecintle,NA,2009,Cacaoatales,Metapa de Oguez,Chiapas,-92.19657222,14.82029722,100,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Soconusco,Chiapas
1,178,2009-275,Tepecintle,Chiapas,275,Maiz negro,Tepecintle,NA,2009,Monterrey Segunda,Tila,Chiapas,-92.46687222,17.25071111,899,3A_muycalido990-1360mm,Dentados tropicales,low,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,192,2008-182,Cónico,Estado de M̩xico,2009-182,Blanco Criollo,Cónico,NA,2009,Xala,Axapusco,Estado de M̩xico,-98.64722222,19.75944444,2479,1B_templado>650mm,Cónico,high,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Mesa Centra
2,185,Pue-2009-732,Arrocillo,Puebla,732,Maíz blanco,Arrocillo,NA,2010,Foxcoatzingo,Zacatlán,Puebla,-97.97941667,19.95577778,2104,1C_templado>1000mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,201,INIFAP-2009-323,Tablilla de Ocho,Chihuahua,323,Ocho carreras amarillo y blanco,Tablilla de Ocho,NA,2009,La Noria y Anexos,Huejotitan,Chihuahua,-106.0163611,26.94213889,1775,2B_semicalido450-620mm,Ocho Hileras,mid,Sierra Madre Occidental,Sierra Madre Occidental,Mesa del No
1,179,2009-97,Cónico,Estado de M̩xico,2009-097,Amarillo,Cónico,NA,2009,San Antonio Mextepec,San Felipe del Progreso,Estado de M̩xico,-99.95611111,19.65111111,2663,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,193,2009-277,Vande̱o,Chiapas,277,Maiz negro (morado) yaxum,Vande̱o,NA,2009,Monterrey Segunda,Tila,Chiapas,-92.46687222,17.25071111,899,3A_muycalido990-1360mm,Dentados tropicales,low,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,186,2009-133,Comiteco,Chiapas,133,Amarillo,Comiteco,NA,2009,Guayamuses,Independencia,Chiapas,-91.97488889,16.23313889,1550,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
2,202,Nay-2010-80,Tabloncillo Perla,Nayarit,80,Tabloncillo perla,Tabloncillo Perla,NA,2010,"Pe̱as, Nayarit",Del Nayar,Nayarit,-105.2216111,21.94602778,20,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,180,2009-116,Cónico,Hidalgo,116,Maíz rojo o xucuyul,Cónico,NA,2009,El Capulín,Cuautepec de Hinojosa,Hidalgo,-98.27472222,19.99861111,2297,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,195,Nay-2010-51,Tabloncillo Perla,Nayarit,51,Tabloncillo cristalino,Tabloncillo Perla,NA,2010,"El Colomo, Nayarit",Bahia de banderas,Nayarit,-105.1493611,20.87416667,54,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Serranias Meridionales,Sierras del
1,187,2009-84,Cónico,Estado de M̩xico,2009-084,Amarillo,Cónico,NA,2009,Emiliano Zapata,Ixtlahuaca,Estado de M̩xico,-99.79111111,19.56944444,2538,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,181,2009-139,Cónico,Tlaxcala,139,Blanco,Cónico,NA,2009,Cerca de Xalostoc,Xalostoc,Tlaxcala,-98.06944444,19.39388889,2469,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,197,2008-33,Reventador,Sonora,SON2007-072,Reventador,Reventador,NA,2008,La Estancia,Aconchi,Sonora,-110.2101111,29.79355556,598,2A_semicalido500-870mm,Chapalote,low,Sonorense,Altiplanicie,BC y Noroes
1,188,2009-133,Cónico,Estado de M̩xico,2009-133,Criollo Ahumado,Cónico,NA,2009,San Pablo Malacatepec,Villa de Allende,Estado de M̩xico,-100.1675028,19.35202222,2452,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,182,Guerrero-2008-45,Conejo,Guerrero,45,Blanco,Conejo,NA,2008,Cualác,Cualác,Guerrero,-98.65641667,17.74525,1402,,Tropicales precoces,mid,Sierra Madre del Sur,Depresion del Balsas,Cordillera
1,198,TAMS-63,Ratón,Tamaulipas,63,Olote delgadito,Ratón,NA,2007,Ejido Nuevo San Antonio,San Carlos,Tamaulipas,-99.02108333,24.29011111,199,2A_semicalido500-870mm,Tropicales precoces,low,Golfo de Mexico,Planicie Costera del Noreste,Mesa del No
1,190,2009-80,Cónico,Estado de M̩xico,2009-080,Rosado,Cónico,NA,2009,San Diego Suchitepec,Villa  Victoria,Estado de M̩xico,-100.0255556,19.49083333,2576,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,200,2009-264,Olotillo,Chiapas,264,Olotillo,Olotillo,NA,2009,Medio Monte,Tuxtla Chico,Chiapas,-92.2045,14.87376389,159,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Soconusco,Chiapas
1,183,2009-127,Comiteco,Chiapas,127,Amarillo,Comiteco,NA,2009,Carranza,Independencia,Chiapas,-91.93747222,16.19525,1550,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,191,2009-266,Elotes Cónicos,Estado de M̩xico,2009-266,Chitocle (Rosado),Elotes Cónicos,NA,2009,Pahuacán,Ayapango,Estado de M̩xico,-98.80666667,19.10861111,2560,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
NA,96,Jardin Etnobotanico Oaxaca,Zea m. parviglumis,Oaxaca,M. Winter S/N,teocintle,parviglumis,NA,1999,Camino a Juchatengo,San Jerónimo Coatlán,Oaxaca,-97.04883,16.32283,1135,teocintle,Zea m. parviglumis,mid,Costa del Pacifico,Costa Pacifica,Complejo de
NA,203,Luis Eguiarte,Zea m. mexicana,Estado de M̩xico,,teocintle,mexicana,NA,NA,villa seca,Toluca,Estado de M̩xico,-99.62705556,19.40747222,2581,teocintle,Zea m. mexicana,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
NA,911,Luis Eguiarte 1_1,Zea m. parviglumis,Guerrero,NA,teocintle,parviglumis,NA,NA,Teloloapan,Teloloapan,Guerrero,-99.84108,18.34983,1649,teocintle,Zea m. parviglumis,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
NA,9107,Luis Eguarte 10_7,Zea m. mexicana,Estado de M̩xico,NA,teocintle,mexicana,NA,NA,Villa Seca,Otzolotepec,Estado de M̩xico,-99.62705556,19.40747222,2581,teocintle,Zea m. mexicana,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
